Year,Month,Category,BudgetRevenue
2024,1,IoT Devices,28254.4
2024,1,Networking,26903.2
2024,1,Security,15253.6
2024,2,IoT Devices,33309.75
2024,2,Networking,21035.25
2024,2,Security,16152.0
2024,3,IoT Devices,39275.1
2024,3,Networking,23367.35
2024,3,Security,20472.25
2024,4,IoT Devices,36763.2
2024,4,Networking,36553.5
2024,4,Security,18127.8
2024,5,IoT Devices,46584.0
2024,5,Networking,32161.0
2024,5,Security,29652.0
2024,6,IoT Devices,56488.95
2024,6,Networking,35507.85
2024,6,Security,18893.7
2024,7,IoT Devices,39169.45
2024,7,Networking,39283.45
2024,7,Security,25722.2
2024,8,IoT Devices,35310.7
2024,8,Networking,27790.75
2024,8,Security,22991.65
2024,9,IoT Devices,47224.1
2024,9,Networking,37065.6
2024,9,Security,20225.7
2024,10,IoT Devices,51012.0
2024,10,Networking,37972.8
2024,10,Security,34414.8
2024,11,IoT Devices,58295.7
2024,11,Networking,49499.1
2024,11,Security,23699.25
2024,12,IoT Devices,53893.0
2024,12,Networking,40499.2
2024,12,Security,22799.0
2025,1,IoT Devices,45005.84
2025,1,Networking,22190.96
2025,1,Security,24218.48
2025,2,IoT Devices,43512.98
2025,2,Networking,21766.8
2025,2,Security,23836.73
2025,3,IoT Devices,47500.81
2025,3,Networking,34747.4
2025,3,Security,23533.01
2025,4,IoT Devices,44881.65
2025,4,Networking,40721.67
2025,4,Security,29416.86
2025,5,IoT Devices,59207.5
2025,5,Networking,37402.2
2025,5,Security,25345.1
2025,6,IoT Devices,47345.76
2025,6,Networking,48218.94
2025,6,Security,22627.6
2025,7,IoT Devices,50198.67
2025,7,Networking,33729.47
2025,7,Security,28518.05
2025,8,IoT Devices,50392.76
2025,8,Networking,27303.87
2025,8,Security,14854.34
2025,9,IoT Devices,63194.67
2025,9,Networking,47027.86
2025,9,Security,27631.56
2025,10,IoT Devices,69589.08
2025,10,Networking,34408.44
2025,10,Security,30666.24
2025,11,IoT Devices,68872.82
2025,11,Networking,56282.99
2025,11,Security,43207.56
2025,12,IoT Devices,62719.58
2025,12,Networking,61570.74
2025,12,Security,26136.88
