OrderID,OrderDate,ProductID,RegionID,Quantity,UnitPrice,Revenue,Cost,OrderStatus
ORD-1001,2025-10-16,P002,R01,67,147.9,9909.3,8040,Completed
ORD-1002,2024-04-14,P009,R02,35,70.21,2457.35,1925,Completed
ORD-1003,2024-08-11,P004,R01,31,254.03,7874.93,6510,Completed
ORD-1004,2025-07-12,P007,R04,32,238.82,7642.24,5760,Completed
ORD-1005,2024-01-07,P003,R07,18,104.84,1887.12,1530,Completed
ORD-1006,2024-12-10,P002,R02,36,141.48,5093.28,4320,Completed
ORD-1007,2025-09-10,P005,R01,60,450.74,27044.4,21000,Completed
ORD-1008,2025-01-22,P002,R05,38,160.27,6090.26,4560,Completed
ORD-1009,2025-08-14,P004,R02,3,283.16,849.48,630,Completed
ORD-1010,2024-03-22,P004,R02,22,259.01,5698.22,4620,Completed
ORD-1011,2025-01-08,P003,R06,22,103.09,2267.98,1870,Completed
ORD-1012,2025-11-30,P002,R03,55,164.25,9033.75,6600,Completed
ORD-1013,2025-01-23,P005,R04,41,436.55,17898.55,14350,Completed
ORD-1014,2024-02-27,P004,R01,16,266.77,4268.32,3360,Completed
ORD-1015,2025-08-03,P006,R04,42,84.49,3548.58,2730,Completed
ORD-1016,2025-10-20,P008,R03,24,113.23,2717.52,2280,Completed
ORD-1017,2025-07-05,P005,R07,42,444.44,18666.48,14700,Completed
ORD-1018,2024-05-21,P009,R08,7,75.72,530.04,385,Completed
ORD-1019,2024-06-05,P003,R07,42,99.37,4173.54,3570,Completed
ORD-1020,2025-04-24,P009,R05,38,77.45,2943.1,2090,Completed
ORD-1021,2024-04-27,P009,R05,38,68.86,2616.68,2090,Completed
ORD-1022,2024-06-10,P008,R01,50,134.21,6710.5,4750,Completed
ORD-1023,2025-05-27,P003,R02,48,105.36,5057.28,4080,Completed
ORD-1024,2025-09-15,P004,R03,31,289.54,8975.74,6510,Completed
ORD-1025,2025-06-27,P001,R06,39,52.01,2028.39,1755,Pending
ORD-1026,2024-11-10,P004,R01,22,296.81,6529.82,4620,Pending
ORD-1027,2024-03-28,P008,R02,42,124.43,5226.06,3990,Completed
ORD-1028,2025-11-06,P008,R03,27,124.29,3355.83,2565,Completed
ORD-1029,2024-08-04,P009,R04,39,68.39,2667.21,2145,
ORD-1030,2025-10-27,P006,R08,48,83.55,4010.4,3120,Completed
ORD-1031,2024-03-06,P006,R01,33,85.55,2823.15,2145,Completed
ORD-1032,2024-01-08,P002,R01,12,140.43,1685.16,1440,Completed
ORD-1033,2024-12-04,P002,R04,26,162.08,4214.08,3120,Completed
ORD-1034,2024-05-15,P010,R08,17,193.95,3297.15,2380,Completed
ORD-1035,2024-07-13,P002,R02,41,153.52,6294.32,4920,Completed
ORD-1036,2025-04-23,P001,R02,5,57.19,285.95,225,Completed
ORD-1037,2024-04-21,P004,R04,12,275.29,3303.48,2520,Completed
ORD-1038,2024-07-06,P005,R08,16,494.32,7909.12,5600,Completed
ORD-1039,2025-07-17,P002,R01,46,173.97,8002.62,5520,Completed
ORD-1040,2024-04-05,P004,R03,25,272.1,6802.5,5250,Completed
ORD-1041,2025-02-14,P001,R03,22,51.78,1139.16,990,Completed
ORD-1042,2025-04-10,P005,R07,47,503.02,23641.94,16450,
ORD-1043,2025-07-23,P008,R03,15,117.71,1765.65,1425,Cancelled
ORD-1044,2025-08-16,P009,R01,47,68.42,3215.74,2585,Completed
ORD-1045,2025-05-03,P009,R03,5,79.1,395.5,275,Completed
ORD-1046,2024-07-09,P002,R02,42,169.03,7099.26,5040,Completed
ORD-1047,2025-08-06,P004,R01,40,246.66,9866.4,8400,Completed
ORD-1048,2025-08-01,P009,R06,17,66.62,1132.54,935,Completed
ORD-1049,2024-09-01,P005,R07,11,473.03,5203.33,3850,Completed
ORD-1050,2024-11-19,P002,R01,41,160.36,6574.76,4920,Completed
ORD-1051,2024-04-12,P002,R04,30,147.55,4426.5,3600,Pending
ORD-1052,2024-03-11,P004,R06,17,251.44,4274.48,3570,Completed
ORD-1053,2025-12-21,P005,R01,70,488.3,34181.0,24500,Completed
ORD-1054,2025-11-10,P002,R03,27,142.16,3838.32,3240,Completed
ORD-1055,2025-07-20,P003,R05,21,113.17,2376.57,1785,Completed
ORD-1056,2024-07-27,P005,R08,17,497.56,8458.52,5950,Completed
ORD-1057,2024-04-04,P007,R05,3,207.19,621.57,540,Completed
ORD-1058,2025-10-14,P005,R03,67,448.89,30075.63,23450,Completed
ORD-1059,2025-07-28,P001,R02,6,64.51,387.06,270,Completed
ORD-1060,2024-06-01,P009,R01,26,72.86,1894.36,1430,Completed
ORD-1061,2024-05-10,P001,R05,25,63.89,1597.25,1125,Completed
ORD-1062,2024-02-10,P006,R04,33,79.62,2627.46,2145,Completed
ORD-1063,2025-07-27,P007,R03,18,253.69,4566.42,3240,Cancelled
ORD-1064,2024-06-30,P007,R01,13,246.77,3208.01,2340,Completed
ORD-1065,2025-02-25,P004,R05,10,291.1,2911.0,2100,Completed
ORD-1066,2024-02-09,P008,R04,10,132.52,1325.2,950,Completed
ORD-1067,2024-11-08,P004,R04,4,283.08,1132.32,840,Completed
ORD-1068,2024-10-12,P002,R05,28,161.09,4510.52,3360,Completed
ORD-1069,2025-07-03,P006,R01,9,91.85,826.65,585,Completed
ORD-1070,2025-08-17,P005,R01,7,465.14,3255.98,2450,Completed
ORD-1071,2024-11-17,P007,R02,35,255.57,8944.95,6300,Completed
ORD-1072,2024-02-15,P007,R01,26,256.98,6681.48,4680,Completed
ORD-1073,2025-11-17,P004,R06,45,245.91,11065.95,9450,Completed
ORD-1074,2024-12-04,P010,R06,61,196.62,11993.82,8540,Completed
ORD-1075,2024-11-03,P009,R05,59,69.99,4129.41,3245,Completed
ORD-1076,2024-10-29,P009,R03,16,70.19,1123.04,880,Pending
ORD-1077,2025-11-24,P003,R05,41,111.72,4580.52,3485,Completed
ORD-1078,2024-10-20,P004,R07,46,279.72,12867.12,9660,Completed
ORD-1079,2025-03-28,P008,R04,33,122.74,4050.42,3135,Pending
ORD-1080,2024-06-22,P002,R05,35,161.9,5666.5,4200,Completed
ORD-1081,2024-04-05,P004,R05,14,292.31,4092.34,2940,Completed
ORD-1082,2024-02-17,P004,R08,30,295.03,8850.9,6300,Completed
ORD-1083,2025-02-28,P010,R04,40,190.25,7610.0,5600,Completed
ORD-1084,2024-09-06,P003,R01,55,119.69,6582.95,4675,Completed
ORD-1085,2025-03-11,P004,R03,44,274.13,12061.72,9240,Completed
ORD-1086,2024-09-12,P002,R08,11,166.85,1835.35,1320,Completed
ORD-1087,2025-07-26,P010,R06,54,198.44,10715.76,7560,Completed
ORD-1088,2025-05-31,P007,R08,13,247.16,3213.08,2340,Completed
ORD-1089,2024-09-22,P004,R05,38,272.03,10337.14,7980,Completed
ORD-1090,2025-03-26,P002,R05,16,147.78,2364.48,1920,Completed
ORD-1091,2025-07-07,P002,R03,12,146.33,1755.96,1440,Completed
ORD-1092,2025-12-24,P004,R02,45,267.18,12023.1,9450,Completed
ORD-1093,2025-03-01,P001,R04,27,57.01,1539.27,1215,Completed
ORD-1094,2025-12-13,P001,R07,51,51.83,2643.33,2295,Completed
ORD-1095,2025-02-03,P007,R04,28,218.85,6127.8,5040,Completed
ORD-1096,2024-01-30,P007,R06,35,243.67,8528.45,6300,Completed
ORD-1097,2024-06-18,P008,R03,43,124.47,5352.21,4085,Pending
ORD-1098,2025-08-29,P010,R01,6,188.0,1128.0,840,Completed
ORD-1099,2025-04-17,P003,R01,18,107.42,1933.56,1530,Completed
ORD-1100,2024-11-30,P006,R07,25,89.41,2235.25,1625,Completed
ORD-1101,2024-09-15,P002,R08,3,164.96,494.88,360,Completed
ORD-1102,2024-12-24,P004,R02,60,244.04,14642.4,12600,Completed
ORD-1103,2024-09-10,P004,R01,45,251.1,11299.5,9450,Completed
ORD-1104,2025-11-16,P002,R04,48,163.18,7832.64,5760,Completed
ORD-1105,2024-06-20,P010,R02,12,201.52,2418.24,1680,Completed
ORD-1106,2024-01-27,P005,R07,21,501.35,10528.35,7350,Completed
ORD-1107,2025-08-29,P004,R02,44,290.17,12767.48,9240,Completed
ORD-1108,2025-09-06,P002,R01,30,157.18,4715.4,3600,Completed
ORD-1109,2024-03-11,P009,R06,1,77.27,77.27,55,Completed
ORD-1110,2024-04-18,P007,R06,37,255.15,9440.55,6660,Completed
ORD-1111,2024-06-05,P007,R03,50,235.17,11758.5,9000,Completed
ORD-1112,2025-09-22,P009,R08,39,70.44,2747.16,2145,Completed
ORD-1113,2024-10-01,P006,R04,8,80.19,641.52,520,Completed
ORD-1114,2025-04-20,P010,R07,23,162.21,3730.83,3220,Completed
ORD-1115,2024-07-05,P008,R04,22,131.99,2903.78,2090,Completed
ORD-1116,2025-09-02,P005,R01,44,502.05,22090.2,15400,Completed
ORD-1117,2025-02-20,P008,R04,39,122.82,4789.98,3705,Completed
ORD-1118,2025-04-03,P001,R02,20,54.74,1094.8,900,Completed
ORD-1119,2024-11-09,P010,R06,43,184.25,7922.75,6020,Completed
ORD-1120,2025-07-17,P006,R06,50,83.6,4180.0,3250,Completed
ORD-1121,2024-08-24,P002,R04,18,142.3,2561.4,2160,Completed
ORD-1122,2025-12-07,P003,R04,24,116.58,2797.92,2040,Completed
ORD-1123,2025-08-26,P009,R05,7,76.99,538.93,385,Completed
ORD-1124,2025-01-04,P003,R05,1,115.8,115.8,85,Completed
ORD-1125,2024-02-16,P001,R05,34,64.5,2193.0,1530,Completed
ORD-1126,2025-05-17,P002,R01,43,148.24,6374.32,5160,Completed
ORD-1127,2024-12-14,P003,R01,25,121.75,3043.75,2125,Completed
ORD-1128,2024-03-07,P007,R08,5,238.16,1190.8,900,Completed
ORD-1129,2024-06-04,P003,R05,7,123.09,861.63,595,Completed
ORD-1130,2025-03-02,P010,R04,34,176.98,6017.32,4760,Pending
ORD-1131,2024-10-31,P010,R07,25,184.88,4622.0,3500,Completed
ORD-1132,2024-04-11,P004,R04,16,283.11,4529.76,3360,Completed
ORD-1133,2024-06-26,P009,R02,12,63.29,759.48,660,Completed
ORD-1134,2025-08-31,P008,R05,3,115.85,347.55,285,Completed
ORD-1135,2025-12-20,P008,R02,72,115.9,8344.8,6840,Completed
ORD-1136,2025-10-02,P010,R04,40,165.82,6632.8,5600,Completed
ORD-1137,2024-06-01,P005,R03,6,408.76,2452.56,2100,Completed
ORD-1138,2025-09-01,P010,R05,37,166.22,6150.14,5180,Completed
ORD-1139,2025-12-17,P007,R05,54,236.16,12752.64,9720,Completed
ORD-1140,2025-09-04,P001,R07,61,56.1,3422.1,2745,Completed
ORD-1141,2024-04-03,P004,R01,45,283.85,12773.25,9450,Completed
